epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8554,1.26739,4.27151,1.44607,0.00057,0.17241,0.00034,0.00022,1.08415,4.21359,1.72339,0.0006,0.0006,0.0946
2,22.6503,0.99998,3.88313,1.21939,0.00276,0.82759,0.02467,0.02265,0.72587,3.48664,0.94705,0.00128713,0.00128713,0.0882871
3,40.7746,0.80295,3.28202,1.01312,0.00333,1,0.09693,0.08847,0.5522,3.24774,0.8532,0.0019604,0.0019604,0.0819604
4,53.5235,0.72554,2.23022,0.98506,0.00333,1,0.64142,0.54294,0.59304,3.06237,0.84194,0.00261981,0.00261981,0.0756198
5,62.4805,0.68456,1.53453,0.93597,0.00333,1,0.995,0.80183,0.68081,2.9178,0.88565,0.00326536,0.00326536,0.0692654
6,68.4893,0.69586,1.2883,0.92168,0.10626,1,0.995,0.82694,0.65959,2.76577,0.86822,0.00389705,0.00389705,0.0628971
7,70.1749,0.75483,1.1811,0.9381,0.00333,1,0.995,0.85127,0.57135,2.45738,0.83774,0.00451488,0.00451488,0.0565149
8,71.3007,0.73243,1.03226,0.92375,0.00333,1,0.995,0.84043,0.62285,2.45015,0.84949,0.00511885,0.00511885,0.0501188
9,75.2146,0.77351,1.01746,0.94619,0.01185,1,0.995,0.79268,0.73158,2.28875,0.88369,0.00570896,0.00570896,0.043709
10,78.2832,0.75999,0.98479,0.98926,1,0.32672,0.995,0.80106,0.75997,2.13245,0.89008,0.00628521,0.00628521,0.0372852
11,80.2171,0.71148,0.86554,0.91704,1,0.30773,0.96238,0.80078,0.72956,2.24501,0.88052,0.0068476,0.0068476,0.0308476
12,84.7727,0.75506,0.83957,0.93373,1,0.39415,0.97645,0.83345,0.58937,2.1285,0.84579,0.00739613,0.00739613,0.0243961
13,87.9388,0.69891,0.81735,0.93488,1,0.88394,0.995,0.77731,0.81502,1.53048,0.93605,0.0079308,0.0079308,0.0179308
14,90.4621,0.71392,0.84809,0.9518,0.9649,0.94823,0.99033,0.83642,0.6018,1.25831,0.87295,0.00845161,0.00845161,0.0114516
