epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3034,1.59611,3.93079,1.60012,0.00227,0.68,0.00219,0.0011,0.87321,4.08267,1.31102,0.001,0.001,0.091
2,138.865,1.28323,3.44008,1.32,0.00333,1,0.00975,0.00624,0.78656,3.70011,0.94125,0.00207921,0.00207921,0.0810792
3,204.185,1.18492,2.85595,1.25173,0.00333,1,0.01027,0.00666,0.96973,3.61731,1.05585,0.00313664,0.00313664,0.0711366
4,442.613,1.16647,2.22022,1.2469,0.00333,1,0.21537,0.13586,1.04213,3.4826,1.1177,0.00417229,0.00417229,0.0611723
5,787.736,1.15173,1.84143,1.18395,0.00333,1,0.60417,0.377,1.10054,3.31217,1.10449,0.00518616,0.00518616,0.0511862
6,920.493,0.99226,1.65054,1.16847,0.00333,1,0.74046,0.50665,1.10905,3.12405,1.05974,0.00617825,0.00617825,0.0411782
7,983.636,1.03769,1.39564,1.13774,1,0.28572,0.98874,0.68807,1.13909,2.70439,1.10919,0.00714856,0.00714856,0.0311486
8,1042.5,1.2387,1.42026,1.1932,1,0.32958,0.92139,0.65327,1.09918,2.66564,1.04127,0.00809709,0.00809709,0.0210971
9,1109.64,1.08874,1.36113,1.19979,1,0.71437,0.99267,0.66602,1.24111,2.23731,1.05026,0.00902384,0.00902384,0.0110238
10,1178.36,1.07236,1.316,1.16937,0.96026,0.94,0.98971,0.73749,0.91966,1.31007,0.97652,0.009109,0.009109,0.009109
11,1240.42,1.08934,1.29936,1.1791,0.872,0.9,0.92829,0.50363,1.59763,1.45882,1.30831,0.00901,0.00901,0.00901
12,1306.47,1.25058,1.3091,1.1898,0.23036,0.78,0.25863,0.1896,0.92387,2.79312,0.98561,0.008911,0.008911,0.008911
13,1375.26,1.09108,1.19754,1.16114,0.46106,0.66734,0.44167,0.3501,0.76334,2.12574,0.91489,0.008812,0.008812,0.008812
14,1440.61,1.08863,1.25768,1.18027,0.89547,0.85675,0.95181,0.68382,1.00046,1.23784,1.03458,0.008713,0.008713,0.008713
15,1503.3,1.13464,1.14108,1.13081,0.9709,0.98,0.99303,0.77143,0.87165,0.99896,0.96179,0.008614,0.008614,0.008614
16,1565.21,1.08198,1.08597,1.13334,0.95712,1,0.99343,0.69339,1.09389,1.06621,1.127,0.008515,0.008515,0.008515
17,1633.69,1.14307,1.2493,1.19424,0.97787,0.96,0.98877,0.63805,1.28977,1.21825,1.24915,0.008416,0.008416,0.008416
18,1704.34,1.15057,1.18408,1.18505,1,0.95862,0.99383,0.63698,1.26763,1.06569,1.2579,0.008317,0.008317,0.008317
19,1768.13,1.0871,1.04385,1.10337,0.95955,0.96,0.98534,0.63225,1.26068,1.00198,1.24227,0.008218,0.008218,0.008218
20,1830.73,1.13628,1.1482,1.20016,0.99944,0.96,0.99139,0.6711,1.09315,0.93238,1.06906,0.008119,0.008119,0.008119
21,1888.94,1.12662,1.05916,1.17169,1,0.99725,0.995,0.59398,1.40449,0.92904,1.26473,0.00802,0.00802,0.00802
22,1950.73,1.10161,1.03044,1.18706,0.9982,1,0.995,0.70364,1.02594,0.75223,1.04097,0.007921,0.007921,0.007921
23,2017.53,1.08955,1.03304,1.16253,0.99419,1,0.995,0.62075,1.38418,0.81356,1.22588,0.007822,0.007822,0.007822
24,2079.74,1.04836,0.95596,1.11314,0.99404,1,0.995,0.69413,1.07883,0.92426,1.06434,0.007723,0.007723,0.007723
25,2138.69,1.04445,0.90526,1.11585,0.99499,1,0.995,0.72627,0.95359,0.95834,1.02883,0.007624,0.007624,0.007624
26,2203.03,1.16756,0.94932,1.10397,0.98448,1,0.995,0.68341,1.09215,0.78173,1.07247,0.007525,0.007525,0.007525
27,2271.51,1.05996,0.94162,1.16818,0.99577,1,0.995,0.72002,0.97071,0.73659,1.00667,0.007426,0.007426,0.007426
28,2333.07,1.04187,0.84659,1.09987,1,0.99672,0.995,0.8169,0.66543,0.93689,0.88217,0.007327,0.007327,0.007327
29,2398.88,1.02799,0.84114,1.12142,0.99713,1,0.995,0.79479,0.74139,0.73152,0.89458,0.007228,0.007228,0.007228
30,2459.94,1.01201,0.82806,1.13107,0.99806,1,0.995,0.79044,0.79743,0.69105,0.92968,0.007129,0.007129,0.007129
31,2526.23,0.97935,0.81197,1.13756,0.99651,1,0.995,0.74485,0.94945,0.7281,0.99562,0.00703,0.00703,0.00703
32,2588.31,1.05928,0.85259,1.07992,0.96151,0.99914,0.98936,0.77815,0.80268,0.85931,0.93804,0.006931,0.006931,0.006931
33,2651.27,1.03135,0.82641,1.13064,0.99745,1,0.995,0.67679,1.18574,0.75199,1.09714,0.006832,0.006832,0.006832
34,2710.79,0.95919,0.75966,1.07941,0.96115,0.98965,0.99383,0.72187,1.06741,0.75374,1.04499,0.006733,0.006733,0.006733
35,2777.73,1.01391,0.82108,1.1154,0.97737,1,0.99461,0.72253,1.06954,0.86106,1.04156,0.006634,0.006634,0.006634
36,2835.89,1.0582,0.79053,1.13947,0.99739,1,0.995,0.74955,0.99496,0.71214,1.00866,0.006535,0.006535,0.006535
37,2896.46,0.99873,0.77647,1.06575,1,0.99969,0.995,0.70707,1.13246,0.71624,1.06658,0.006436,0.006436,0.006436
38,2957.3,0.97419,0.77724,1.10067,0.97943,0.95219,0.98248,0.64308,1.32034,0.89527,1.17498,0.006337,0.006337,0.006337
39,3024.2,0.99946,0.75584,1.08909,0.99017,0.84,0.94238,0.71251,0.95126,0.82772,1.0041,0.006238,0.006238,0.006238
40,3084.55,1.0095,0.78143,1.13087,1,0.93603,0.98634,0.71458,0.98108,0.84519,1.00219,0.006139,0.006139,0.006139
41,3145.82,0.99643,0.73791,1.0875,1,0.99206,0.995,0.65406,1.30805,0.86197,1.16167,0.00604,0.00604,0.00604
42,3204.27,1.01797,0.7876,1.10354,0.99236,1,0.995,0.71583,1.07581,0.65211,1.04056,0.005941,0.005941,0.005941
43,3268.55,1.0495,0.81244,1.16348,0.99793,1,0.995,0.67918,1.12258,0.67404,1.07864,0.005842,0.005842,0.005842
44,3329.79,0.98302,0.74727,1.08691,0.99836,1,0.995,0.68128,1.13821,0.59424,1.05367,0.005743,0.005743,0.005743
45,3390.56,0.98871,0.69507,1.0845,0.99757,1,0.995,0.72286,1.01829,0.58778,0.99538,0.005644,0.005644,0.005644
46,3454.7,0.94708,0.73218,1.07777,0.99623,1,0.995,0.77284,0.84042,0.59218,0.93208,0.005545,0.005545,0.005545
47,3518.61,1.03195,0.74715,1.10496,0.99746,1,0.995,0.75541,0.92343,0.5389,0.96659,0.005446,0.005446,0.005446
48,3586.35,1.02495,0.77083,1.12178,0.9984,1,0.995,0.76266,0.86813,0.5418,0.94992,0.005347,0.005347,0.005347
49,3643.71,0.96383,0.71984,1.06094,0.99812,1,0.995,0.76552,0.8638,0.52616,0.93682,0.005248,0.005248,0.005248
50,3705.16,0.89533,0.67803,1.04902,0.99731,1,0.995,0.6992,1.06,0.58006,1.0331,0.005149,0.005149,0.005149
51,3758.59,0.96409,0.69925,1.06185,0.99787,1,0.995,0.7111,1.07981,0.58808,1.03678,0.00505,0.00505,0.00505
52,3813.35,0.98518,0.66908,1.04289,0.99849,1,0.995,0.7623,0.89406,0.48677,0.95577,0.004951,0.004951,0.004951
53,3877.79,0.97142,0.6637,1.04114,0.99557,1,0.995,0.71749,1.04539,0.5617,1.01348,0.004852,0.004852,0.004852
54,3941.83,0.95877,0.67826,1.10597,0.99872,1,0.995,0.73725,0.97624,0.51579,0.98697,0.004753,0.004753,0.004753
55,4005.87,0.95824,0.68936,1.07819,0.99823,1,0.995,0.67631,1.15865,0.56183,1.06343,0.004654,0.004654,0.004654
56,4068.21,0.92618,0.63562,1.0491,0.99872,1,0.995,0.73349,1.0578,0.56802,1.00761,0.004555,0.004555,0.004555
57,4129.78,0.95001,0.65799,1.06864,0.99861,1,0.995,0.79724,0.80422,0.4809,0.91734,0.004456,0.004456,0.004456
58,4190.48,0.90526,0.64566,1.07623,0.99814,1,0.995,0.75294,0.96293,0.50768,0.98487,0.004357,0.004357,0.004357
59,4255.75,0.91117,0.63609,1.03547,0.99796,1,0.995,0.77197,0.8992,0.49492,0.95598,0.004258,0.004258,0.004258
60,4315.48,0.95689,0.67701,1.05856,0.99806,1,0.995,0.73515,1.0175,0.5121,1.00588,0.004159,0.004159,0.004159
61,4379.2,0.92216,0.63256,1.04002,0.99841,1,0.995,0.74528,0.93674,0.48029,0.97483,0.00406,0.00406,0.00406
62,4442.1,0.89784,0.63704,1.0687,0.99866,1,0.995,0.75445,0.93993,0.47072,0.96877,0.003961,0.003961,0.003961
